# day     answer-1  answer-2
Y15.D01   138       1771
Y15.D02   1586300   3737498
Y15.D03   2565      2639
Y15.D04   117946    3938038
Y15.D05   236       51
Y15.D06MS 400410    15343601
Y15.D06IO 400410    15343601
Y15.D06ST 400410    15343601
Y15.D07   3176      14710
Y15.D08   1333      2046
Y15.D09   117       909
Y15.D10   360154    5103798
Y15.D11   vzbxxyzz  vzcaabcc
Y15.D12   111754    65402
Y15.D13   618       601
Y15.D14   2640      1102
Y15.D15   13882464  11171160
Y15.D16   103       405
Y15.D17   1638      17
